künstl_Saison;VA_Projekt;VATyp;Datum_von;Datum_bis;VA_Raum;Aktivitätsstatus;VA_Titel;Anzeige_Besetzung;Anzeige_Programm;Abo's
2013/14 K;Konzerthausorchester A5 (2013/14 K);KHB;10.04.2014 22:00;10.04.2014 23:00;Musikclub;Diskussionsveranstaltung;22.00 Uhr Nach(t)gespräch;"Konzerthausorchester Berlin
Iván Fischer";;Abo A
2013/14 K;Papageno spielt auf der Zauberflöte (2013/14 K);KHB;11.04.2014 09:30;11.04.2014 10:30;Musikclub;Konzert;Konzert;"Natalia Farhi / Bele Kumberger / Susanne Serfling Sopran (alternierende Besetzung)
Florian Hoffmann / Kim Schrader / Christoph Schröter Tenor (alternierende Besetzung)
Kai-Uwe Fahnert / Bernhard Hansky / Ulrich Wand Bariton (alternierende Besetzung)
Franziska von Brück / Sabine Fiß Flöte (alternierende Besetzung)
Klaus Kirbach Musikalische Leitung und Klavier
Heidi Kirbach Regie
Hans-Eberhardt Ernst Ausstattung";;
2013/14 K;Papageno spielt auf der Zauberflöte (2013/14 K);KHB;11.04.2014 11:00;11.04.2014 12:00;Musikclub;Konzert;Papageno spielt auf der Zauberflöte;"Natalia Farhi / Bele Kumberger / Susanne Serfling Sopran (alternierende Besetzung)
Florian Hoffmann / Kim Schrader / Christoph Schröter Tenor (alternierende Besetzung)
Kai-Uwe Fahnert / Bernhard Hansky / Ulrich Wand Bariton (alternierende Besetzung)
Franziska von Brück / Sabine Fiß Flöte (alternierende Besetzung)
Klaus Kirbach Musikalische Leitung und Klavier
Heidi Kirbach Regie
Hans-Eberhardt Ernst Ausstattung";;
2013/14 K;Konzerthausorchester A5 (2013/14 K);KHB;11.04.2014 20:00;11.04.2014 22:30;Großer Saal;Konzert;Überraschungskonzert;"Konzerthausorchester Berlin
Iván Fischer";;Abo A
2013/14 K;Konzerthausorchester A5 (2013/14 K);KHB;11.04.2014 22:00;11.04.2014 23:00;Musikclub;Diskussionsveranstaltung;22.00 Uhr Nach(t)gespräch;"Konzerthausorchester Berlin
Iván Fischer";;Abo A
2013/14 K;Papageno spielt auf der Zauberflöte (2013/14 K);KHB;12.04.2014 15:30;12.04.2014 16:30;Musikclub;Konzert;Papageno spielt auf der Zauberflöte;"Natalia Farhi / Bele Kumberger / Susanne Serfling Sopran (alternierende Besetzung)
Florian Hoffmann / Kim Schrader / Christoph Schröter Tenor (alternierende Besetzung)
Kai-Uwe Fahnert / Bernhard Hansky / Ulrich Wand Bariton (alternierende Besetzung)
Franziska von Brück / Sabine Fiß Flöte (alternierende Besetzung)
Klaus Kirbach Musikalische Leitung und Klavier
Heidi Kirbach Regie
Hans-Eberhardt Ernst Ausstattung";;
2013/14 K;Konzerthausorchester A5 (2013/14 K);KHB;12.04.2014 20:00;12.04.2014 22:30;Großer Saal;Konzert;Überraschungskonzert;"Konzerthausorchester Berlin
Iván Fischer";;Abo A
2013/14 K;Konzerthausorchester A5 (2013/14 K);KHB;12.04.2014 22:00;12.04.2014 23:00;Musikclub;Diskussionsveranstaltung;22.00 Uhr Nach(t)gespräch;"Konzerthausorchester Berlin
Iván Fischer";;Abo A
2013/14 K;Konzerthausorchester M5  (2013/14 K);KHB;13.04.2014 11:00;13.04.2014 13:30;Kleiner Saal;Konzert;Kammermusik-Matinee des Konzerthausorchesters;"Ulrike Petersen Violine
Stefan Markowski Violine
Ernst-Martin Schmidt Viola
Taneli Turunen Violoncello";"Juan Crisóstomo Jacobo Antonio de Arriaga y Balzola Streichquartett Nr. 3 Es-Dur
Christian W. Petersen Fünf Miniaturen für Streichquartett (UA)
Ludwig van Beethoven Streichquartett Es-Dur op. 74 („Harfen-Quartett“)";Abo M
2013/14 K;Kiez-Konzerte 13/14 (2013/14 K);KHBKoop;13.04.2014 11:00;13.04.2014 12:00;Schloss Schönhausen;Konzert;Kiez-Konzert;"Silvia Careddu Flöte
Ronith Mues Harfe";"Johann Sebastian Bach Sonate für Flöte und Harfe g-Moll (nach der Sonate für Violine und obligates Cembalo g-Moll BWV 1020)
Christoph Willibald Gluck „Reigen seliger Geister“ aus der Oper „Orfeo ed Euridice“
Claude Debussy „Syrinx“ für Flöte solo
Louis Spohr Sonate für Flöte und Harfe c-Moll
Gabriel Fauré Impromptu für Harfe Des-Dur op. 86
Marin Marais „Les folies d'Espagne“
Maurice Ravel „Pièce en forme de Habanera“
Jacques Ibert „Entr'acte“ für Flöte und Harfe
Gabriel Fauré Fantasie e-Moll/C-Dur op. 79";
2013/14 K;Papageno spielt auf der Zauberflöte (2013/14 K);KHB;13.04.2014 15:30;13.04.2014 16:30;Musikclub;Konzert;Papageno spielt auf der Zauberflöte;"Natalia Farhi / Bele Kumberger / Susanne Serfling Sopran (alternierende Besetzung)
Florian Hoffmann / Kim Schrader / Christoph Schröter Tenor (alternierende Besetzung)
Kai-Uwe Fahnert / Bernhard Hansky / Ulrich Wand Bariton (alternierende Besetzung)
Franziska von Brück / Sabine Fiß Flöte (alternierende Besetzung)
Klaus Kirbach Musikalische Leitung und Klavier
Heidi Kirbach Regie
Hans-Eberhardt Ernst Ausstattung";;
2013/14 K;Im Wald 13/14 (2013/14 K);KHBKoop;14.04.2014 20:00;14.04.2014 22:30;Großer Saal;Konzert;Im Wald | Under the trees;"Uli Aumüller Regie
Sebastian Rausch Visuelle Realisation
Ensemble Resonanz
Hermann Bäumer Dirigent
EXPERIMENTALSTUDIO des SWR Live-Elektronische Realisation
Simon Spillner Klangregie
Thomas Hummel Klangregie
Gary Berger Klangregie
Detlef Heusinger Klangregie
Arno Lücker Produktionsleitung";;
2013/14 K;Musikforum Gendarmenmarkt (2013/14 K);KHBKoop;14.04.2014 20:00;14.04.2014 23:00;Kleiner Saal;Konzert;Musikforum Gendarmenmarkt;"Julian Arp Violoncello
Claudio Bohórquez Violoncello
Danjulo Ishizaka Violoncello
Sebastian Klinger Violoncello
Emil Rovner Violoncello
Julian Steckel Violoncello
Jakub Tylman Violoncello
Damien Ventula Violoncello
Nicolas Bringuier Klavier
Caspar Frantz Klavier
Stanislaw Gallin Klavier
Martin Helmchen Klavier
Alla Ivanzhina Klavier
Katia Skanavi Klavier
Lars Vogt Klavier";;
2013/14 K;Der Blick auf den Klang 13/14 (2013/14 K);KHB;14.04.2014 20:00;14.04.2014 21:20;Musikclub;Film;Noseland;;;
2013/14 K;Streichquartett International (2013/14 K);KHB;16.04.2014 20:00;16.04.2014 22:30;Kleiner Saal;Konzert;St. Lawrence String Quartet;St. Lawrence String Quartet;"Joseph Haydn Streichquartett Es-Dur op. 20 Nr. 1 Hob III:31
Giuseppe Verdi Streichquartett e-Moll
Osvaldo Golijov „Qohelet“ für Streichquartett
Joseph Haydn Streichquartett D-Dur op. 71 Nr. 2 Hob III:70";Abo StQI
2013/14 K;Konzerthausorchester SK Karfreitag (2013/14 K);KHB;18.04.2014 19:00;18.04.2014 22:30;Großer Saal;Konzert;Konzerthausorchester Berlin, Iván Fischer;"Konzerthausorchester Berlin
Iván Fischer
Vocalconsort Berlin
Christina Landshamer Sopran
Siri Thornhill Sopran
Ingeborg Danz Alt
Stella Doufexis Alt
Maximilian Schmitt Tenor
Andreas Weller Tenor
Hanno Müller-Brachmann Bass
Andrew Schroeder Bass";Johann Sebastian Bach Matthäus-Passion BWV 244;
2013/14 K;Orgelkonzerte (2013/14 K);KHB;19.04.2014 15:30;19.04.2014 17:00;Großer Saal;Konzert;Orgelstunde;Dirk Elsemann Orgel;;
2013/14 K;Konzerthausorchester SK Karfreitag (2013/14 K);KHB;19.04.2014 19:00;19.04.2014 22:30;Großer Saal;Konzert;Konzerthausorchester Berlin, Iván Fischer;"Konzerthausorchester Berlin
Iván Fischer
Vocalconsort Berlin
Christina Landshamer Sopran
Siri Thornhill Sopran
Ingeborg Danz Alt
Stella Doufexis Alt
Maximilian Schmitt Tenor
Andreas Weller Tenor
Hanno Müller-Brachmann Bass
Andrew Schroeder Bass";Johann Sebastian Bach Matthäus-Passion BWV 244;
2013/14 K;Orgelkonzerte (2013/14 K);KHB;21.04.2014 11:00;21.04.2014 12:30;Großer Saal;Konzert;Orgel-Matinee am Ostermontag;Martin Sander Orgel;"Heinrich Scheidemann „Alleluia, laudem dicite Deo nostro“ - Kolorierung einer Motette von Hans Leo Haßler
Johann Sebastian Bach Präludium und Fuge C-Dur BWV 547
Johann Sebastian Bach „Allein Gott in der Höh' sei Ehr'“ BWV 676
Johann Sebastian Bach „Jesus Christus, unser Heiland“ BWV 688
Petr Eben 1. Satz („Alleluia pascale“. Largo) und 4. Satz („Christus vincit“. Gravemente) aus dem Orgelzyklus „Laudes“
Max Reger „Ostern“ op. 145 Nr. 5
Max Reger Fantasie über den Choral „Halleluja! Gott zu loben, bleibe meine Seelenfreud“ op. 52 Nr. 3";
2013/14 K;Akademie für Alte Musik (2013/14 K);KHB;21.04.2014 20:00;21.04.2014 22:30;Kleiner Saal;Konzert;Akademie für Alte Musik Berlin;"Akademie für Alte Musik Berlin
Isa Katharina Gericke Sopran
Georg Kallweit Konzertmeister";;Abo AKAMUS
2013/14 K;Pianissimo 13/14 (2013/14 K);KHB;22.04.2014 20:00;22.04.2014 23:00;Großer Saal;Konzert;Anna Vinnitskaya;Anna Vinnitskaya Klavier;"Claude Debussy „Suite Bergamasque“
Claude Debussy „L'isle joyeuse“
Sergej Prokofjew Sonate Nr. 2 d-Moll op. 14
Fryderyk Chopin Ballade g-Moll op. 23
Fryderyk Chopin Ballade F-Dur op. 38
Fryderyk Chopin Ballade As-Dur op. 47
Fryderyk Chopin Ballade f-Moll op. 52";Abo Pianis
2013/14 K;Akademie für Alte Musik (2013/14 K);KHB;22.04.2014 20:00;22.04.2014 22:30;Kleiner Saal;Konzert;Akademie für Alte Musik Berlin;"Akademie für Alte Musik Berlin
Isa Katharina Gericke Sopran
Georg Kallweit Konzertmeister";;Abo AKAMUS
2013/14 K;Espresso-Konzerte (2013/14 K);KHB;23.04.2014 14:00;23.04.2014 15:00;Konzerthaus Berlin;Konzert;Espresso-Konzert;"Nicolai Gerassimez Klavier
Martin Funda Violine
Byol Kang Violine
Manuel Hofer Viola
Wassily Gerassimez Violoncello";;
2013/14 K;Akademie für Alte Musik (2013/14 K);KHB;23.04.2014 20:00;23.04.2014 22:30;Kleiner Saal;Konzert;Akademie für Alte Musik Berlin;"Akademie für Alte Musik Berlin
Isa Katharina Gericke Sopran
Georg Kallweit Konzertmeister";;Abo AKAMUS
2013/14 K;Berlin PianoPercussion (2013/14 K);KHBKoop;29.04.2014 20:00;29.04.2014 22:30;Werner-Otto-Saal;Konzert;Berlin PianoPercussion: „Projekt USA i“;Berlin PianoPercussion;"Pierre Jalbert „Klang“ für zwei Klaviere und Schlagzeug
Christopher Burns „Close Quarters“ für Klavier vierhändig und Vibraphon vierhändig
Daniel Vezza „One of them, one of us“ für zwei Klaviere und zwei Schlagzeuger (UA)
Christian Wolff Trio II für Klavier vierhändig und Schlagzeug
David Dzubay „It is Above That You And I Shall Go“ für zwei Klaviere und zwei Schlagzeuger UA)";
2013/14 K;Espresso-Konzerte (2013/14 K);KHB;30.04.2014 14:00;30.04.2014 15:00;Konzerthaus Berlin;Konzert;Espresso-Konzert;;;
2013/14 K;Konzerthausorchester C5  (2013/14 K);KHB;02.05.2014 20:00;02.05.2014 22:30;Großer Saal;Konzert;Konzerthausorchester Berlin, Jukka-Pekka Saraste;"Konzerthausorchester Berlin
Jukka-Pekka Saraste";"Witold Lutosławski Sinfonie Nr. 3
Anton Bruckner Sinfonie Nr. 3 d-Moll (Fassung von 1877)";Abo C
2013/14 K;Konzerthausorchester C5  (2013/14 K);KHB;02.05.2014 22:00;02.05.2014 23:00;Musikclub;Diskussionsveranstaltung;22:00 Uhr Nach(t)gespräch;"Konzerthausorchester Berlin
Jukka-Pekka Saraste";"Witold Lutosławski Sinfonie Nr. 3
Anton Bruckner Sinfonie Nr. 3 d-Moll (Fassung von 1877)";Abo C
2013/14 K;Beethoven-Salon (2013/14 K);KHB;03.05.2014 13:00;03.05.2014 14:00;Ludwig-van-Beethoven-Saal;Konzert;Beethoven-Salon;"Stefan Markowski Violine
Karoline Bestehorn Violine
Atilla Aldemir Viola
Ernst-Martin Schmidt Viola
Andreas Timm Violoncello
Nerina Mancini Violoncello";"Ludwig van Beethoven Fuge für Streichquintett D-Dur op. 137
Erwin Schulhoff Streichsextett op. 45
Niels Wilhelm Gade Streichsextett Es-Dur op. 44";
2013/14 K;Konzerthausorchester C5  (2013/14 K);KHB;03.05.2014 20:00;03.05.2014 22:30;Großer Saal;Konzert;Konzerthausorchester Berlin, Jukka-Pekka Saraste;"Konzerthausorchester Berlin
Jukka-Pekka Saraste";"Witold Lutosławski Sinfonie Nr. 3
Anton Bruckner Sinfonie Nr. 3 d-Moll (Fassung von 1877)";Abo C
2013/14 K;Konzerthausorchester C5  (2013/14 K);KHB;03.05.2014 22:00;03.05.2014 23:00;Musikclub;Diskussionsveranstaltung;22:00 Uhr Nach(t)gespräch;"Konzerthausorchester Berlin
Jukka-Pekka Saraste";"Witold Lutosławski Sinfonie Nr. 3
Anton Bruckner Sinfonie Nr. 3 d-Moll (Fassung von 1877)";Abo C
2013/14 K;Konzerthausorchester C5  (2013/14 K);KHB;04.05.2014 16:00;04.05.2014 18:30;Großer Saal;Konzert;Konzerthausorchester Berlin, Jukka-Pekka Saraste;"Konzerthausorchester Berlin
Jukka-Pekka Saraste";"Witold Lutosławski Sinfonie Nr. 3
Anton Bruckner Sinfonie Nr. 3 d-Moll (Fassung von 1877)";Abo C
2013/14 K;Kammerorchester International (2013/14 K);KHBKoop;06.05.2014 20:00;06.05.2014 22:00;Großer Saal;Konzert;Orquestra de Cadaqués, Sir Neville Marriner;"Orquestra de Cadaqués
Sir Neville Marriner
Martin Stadtfeld Klavier";"Georges Bizet Suite aus der Oper „Carmen“
Wolfgang Amadeus Mozart Konzert für Klavier und Orchester Es-Dur KV 482
Isaac Albéniz „Catalonia“, für Kammerorchester bearbeitet von Antonio Barbosa
Felix Mendelssohn Bartholdy Sinfonie Nr. 4 A-Dur op. 90 („Italienische“)";Abo KOI
2013/14 K;Musikforum Gendarmenmarkt (2013/14 K);KHBKoop;07.05.2014 20:00;07.05.2014 22:30;Kleiner Saal;Konzert;Musikforum Gendarmenmarkt;"Sebastian Noack Bariton
Alexander Fleischer Klavier";"Hugo Wolf Vier Lieder nach Texten von Joseph von Eichendorff („Die Nacht“, „Verschwiegene Liebe“, „Nachtzauber“, „Nachruf“)
Aribert Reimann Tre Poemi di Michelangelo
Hugo Wolf Drei Lieder nach Gedichten von Michelangelo
Robert Schumann „Liederkreis“ nach Gedichten von Joseph von Eichendorff op. 39";
